carrier_id,carrier_name,carrier_type,region
WU,Western Air Ltd,Unknown,USA
SV,Saudi Arabian Airlines Corp,Unknown,USA
N0,"Norse Atlantic Airways,AS",Unknown,USA
NH,All Nippon Airways Co.,Unknown,USA
AR,Aerolineas Argentinas,Unknown,USA
AF,Compagnie Natl Air France,Unknown,USA
AY,Finnair Oy,Unknown,USA
BF,French bee,Unknown,USA
KL,Klm Royal Dutch Airlines,Unknown,USA
EY,Etihad Airways,Unknown,USA
W8,Cargojet Airways Ltd.,Unknown,USA
LP,Lan Peru Airlines,Unknown,USA
LO,Polskie Linie Lotnicze,Unknown,USA
4Y,EUROWINGS DISCOVER GmbH,Unknown,USA
5Y,Atlas Air Inc.,Unknown,USA
UX,Air Europa,Unknown,USA
CX,Cathay Pacific Airways Ltd.,Unknown,USA
BY,Britannia Airways Ltd.,Unknown,USA
DHQ,DHL Aero Expresso,Unknown,USA
QT,Transportes Aereos Mercantiles Panamericanos S.A,Unknown,USA
IB,Iberia Air Lines Of Spain,Unknown,USA
AI,National Aviation Company of India Limited d/b/a Air India,Unknown,USA
JJ,TAM Linhas Aereas SA dba Latam Airlines Brasil,Unknown,USA
LX,Swiss International Airlines,Unknown,USA
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",Unknown,USA
8C,Air Transport International,Unknown,USA
ABX,ABX Air Inc,Unknown,USA
KX,Cayman Airways Limited,Unknown,USA
8R,Edelweiss Air Ag,Unknown,USA
VS,Virgin Atlantic Airways,Unknown,USA
HC,Air Senegal S.A,Unknown,USA
ZPQ,"Silk Way Airlines, LLC",Unknown,USA
GU,"Aviateca, S.A.",Unknown,USA
L7,Lan Colombia,Unknown,USA
M3,ABSA-Aerolinhas Brasileiras,Unknown,USA
NOS,Neos S.P.A,Unknown,USA
TK,Turk Hava Yollari A.O.,Unknown,USA
M7,Aerotransportes Mas De Crga,Unknown,USA
BR,Eva Airways Corporation,Unknown,USA
4B,Boutique Air,Unknown,USA
BW,Caribbean Airlines Limited,Unknown,USA
JX,STARLUX AIRLINES,Unknown,USA
HX,Hong Kong Airlines Limited,Unknown,USA
YP,Air Premia,Unknown,USA
KD,Western Global,Unknown,USA
MF,"Xiamen Airlines Co., Ltd.",Unknown,USA
PO,Polar Air Cargo Airways,Unknown,USA
3S,AeroLogic GmbH,Unknown,USA
CC,Air Atlanta Icelandic,Unknown,USA
CT,Air Atlanta Europe Limited,Unknown,USA
X7,Challenge Airlines (BE) S.A.,Unknown,USA
C8,Cargolux Italia SpA,Unknown,USA
