airport_id,city,state,airport_name,country
OOK,"Toksook, AK",AK,OOK Airport,USA
PQS,"Pilot Station, AK",AK,PQS Airport,USA
LBG,"Paris, France",,LBG Airport,USA
MLY,"Manley Hot Springs, AK",AK,MLY Airport,USA
JNU,"Juneau, AK",AK,JNU Airport,USA
PEC,"Pelican, AK",AK,PEC Airport,USA
DCK,"Dahl Creek, AK",AK,DCK Airport,USA
FYU,"Fort Yukon, AK",AK,FYU Airport,USA
MNT,"Minto, AK",AK,MNT Airport,USA
STG,"St. George Island, AK",AK,STG Airport,USA
SVS,"Stevens Village, AK",AK,SVS Airport,USA
VIK,"Kavik River, AK",AK,VIK Airport,USA
WLK,"Selawik, AK",AK,WLK Airport,USA
HNS,"Haines, AK",AK,HNS Airport,USA
ANV,"Anvik, AK",AK,ANV Airport,USA
CYF,"Chefornak, AK",AK,CYF Airport,USA
EMK,"Emmonak, AK",AK,EMK Airport,USA
GNU,"Goodnews Bay, AK",AK,GNU Airport,USA
KGX,"Grayling, AK",AK,KGX Airport,USA
KSM,"St. Mary's, AK",AK,KSM Airport,USA
KWK,"Kwigillingok, AK",AK,KWK Airport,USA
MOU,"Mountain Village, AK",AK,MOU Airport,USA
NME,"Nightmute, AK",AK,NME Airport,USA
PTU,"Platinum, AK",AK,PTU Airport,USA
SCM,"Scammon Bay, AK",AK,SCM Airport,USA
TNK,"Tununak, AK",AK,TNK Airport,USA
VAK,"Chevak, AK",AK,VAK Airport,USA
TKE,"Tenakee, AK",AK,TKE Airport,USA
AUK,"Alakanuk, AK",AK,AUK Airport,USA
CHU,"Chuathbaluk, AK",AK,CHU Airport,USA
A26,"Ivotuk, AK",AK,A26 Airport,USA
AGN,"Angoon, AK",AK,AGN Airport,USA
ELV,"Elfin Cove, AK",AK,ELV Airport,USA
EXI,"Excursion Inlet, AK",AK,EXI Airport,USA
FNR,"Funter Bay Alaska, AK",AK,FNR Airport,USA
GST,"Gustavus, AK",AK,GST Airport,USA
HNH,"Hoonah, AK",AK,HNH Airport,USA
KAE,"Kake, AK",AK,KAE Airport,USA
PSG,"Petersburg, AK",AK,PSG Airport,USA
PTD,"Port Alexander, AK",AK,PTD Airport,USA
SGY,"Skagway, AK",AK,SGY Airport,USA
SIT,"Sitka, AK",AK,SIT Airport,USA
06A,"Kizhuyak, AK",AK,06A Airport,USA
A17,"Port Vita, AK",AK,A17 Airport,USA
A43,"Kodiak Island, AK",AK,A43 Airport,USA
ALZ,"Lazy Bay, AK",AK,ALZ Airport,USA
AOS,"Amook Bay, AK",AK,AOS Airport,USA
BFB,"Blue Fox Bay, AK",AK,BFB Airport,USA
JLA,"Cooper Lodge, AK",AK,JLA Airport,USA
KKB,"Kitoi Bay, AK",AK,KKB Airport,USA
